TimeNow,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magnet_X,Magnet_Y,Magnet_Z,Yaw,Roll,Pitch
22:00:43,-0.1,-4.52,8.13,-0.0625,0.0625,0.0625,-59.5625,47.875,-24.375,1.43,-0.68,28.87
22:00:44,-0.11,-4.53,8.17,0.0625,-0.0625,-0.125,-58.5,49.0,-24.375,1.43,-0.68,28.87
22:00:44,-0.12,-4.52,8.16,0.25,-0.0625,0.0,-58.5,49.0,-22.6875,1.43,-0.68,28.87
22:00:45,-0.14,-4.51,8.16,0.0,-0.25,0.125,-58.0625,49.6875,-23.875,1.43,-0.68,28.87
22:00:45,-0.12,-4.53,8.15,0.0,0.125,0.125,-59.5625,49.0,-23.5,1.43,-0.68,28.87
22:00:46,-0.1,-4.52,8.16,0.0625,0.125,0.0625,-59.25,49.0,-22.6875,1.43,-0.68,28.87
22:00:46,-0.12,-4.52,8.15,0.0,-0.0625,-0.0625,-58.5,50.75,-23.0625,1.43,-0.68,28.87
22:00:47,-0.11,-4.53,8.14,0.0625,0.0,0.0,-58.5,47.875,-22.25,1.43,-0.68,28.87
22:00:48,-0.13,-4.54,8.17,0.0,0.125,0.0,-59.25,48.25,-23.875,1.43,-0.68,28.87
22:00:48,-0.13,-4.53,8.16,0.0,0.0625,0.0625,-59.25,48.5625,-24.375,1.43,-0.68,28.87
22:00:49,-0.13,-4.51,8.15,-0.125,0.0,0.0625,-59.25,48.5625,-23.5,1.43,-0.68,28.87
22:00:49,-0.1,-4.54,8.14,-0.0625,0.0625,-0.125,-58.875,47.875,-24.75,1.43,-0.68,28.87
22:00:50,-0.11,-4.51,8.17,0.0625,-0.0625,0.0,-58.875,48.5625,-23.5,1.43,-0.68,28.87
22:00:51,-0.12,-4.51,8.16,0.0,0.1875,0.0625,-59.25,50.0625,-23.5,1.43,-0.68,28.87
22:00:51,-0.13,-4.51,8.17,-0.125,-0.0625,0.0,-59.5625,48.5625,-23.5,1.43,-0.68,28.87
22:00:52,-0.13,-4.51,8.14,-0.0625,0.0625,-0.0625,-60.25,48.25,-23.0625,1.43,-0.68,28.87
22:00:52,-0.12,-4.51,8.14,-0.1875,0.125,-0.0625,-57.75,47.875,-24.375,1.43,-0.68,28.87
22:00:53,-0.11,-4.51,8.17,-0.125,0.0625,0.0,-59.25,48.5625,-23.5,1.43,-0.68,28.87
22:00:53,-0.13,-4.53,8.17,-0.125,-0.0625,0.0625,-58.5,49.375,-23.875,1.43,-0.68,28.87
22:00:54,-0.13,-4.53,8.19,0.0625,0.1875,-0.0625,-59.5625,50.0625,-23.875,1.43,-0.68,28.87
22:00:55,-0.13,-4.53,8.17,0.0,0.0625,-0.0625,-58.0625,48.25,-23.0625,1.43,-0.68,28.87
22:00:55,-0.11,-4.51,8.16,0.0625,0.0,0.125,-57.75,49.6875,-24.375,1.43,-0.68,28.87
22:00:56,-0.12,-4.52,8.17,-0.0625,-0.0625,-0.125,-58.5,49.0,-22.6875,1.43,-0.68,28.87
22:00:56,-0.11,-4.55,8.14,0.1875,0.0625,0.0,-58.0625,48.5625,-23.875,1.43,-0.68,28.87
22:00:57,-0.11,-4.51,8.15,-0.0625,0.0,-0.1875,-58.0625,48.25,-23.875,1.43,-0.68,28.87
22:00:57,-0.12,-4.52,8.16,-0.0625,-0.0625,-0.0625,-58.0625,48.5625,-23.5625,1.43,-0.68,28.87
22:00:58,-0.11,-4.52,8.18,-0.0625,-0.125,0.0625,-59.5625,48.25,-22.6875,1.43,-0.68,28.87
22:00:59,-0.12,-4.54,8.14,0.0625,-0.125,0.0625,-59.25,48.5625,-24.375,1.43,-0.68,28.87
22:00:59,-0.12,-4.52,8.16,0.25,-0.125,-0.0625,-59.25,49.0,-23.875,1.43,-0.68,28.87
22:01:00,-0.12,-4.53,8.16,-0.125,0.0,0.1875,-58.875,48.25,-23.875,1.43,-0.68,28.87
22:01:00,-0.13,-4.54,8.16,0.0,0.0,0.0625,-57.75,47.5,-23.0625,1.43,-0.68,28.87
22:01:01,-0.13,-4.53,8.16,0.0,-0.1875,0.25,-59.25,48.25,-24.375,1.43,-0.68,28.87
22:01:02,-0.13,-4.52,8.16,0.125,0.1875,-0.125,-57.75,50.0625,-24.375,1.43,-0.68,28.87
22:01:02,-0.13,-4.53,8.16,0.125,0.0625,0.125,-59.875,49.0,-23.5,1.43,-0.68,28.87
22:01:03,-0.11,-4.55,8.15,0.0625,0.0,0.0,-58.5,49.0,-22.6875,1.43,-0.68,28.87
22:01:03,-0.13,-4.54,8.13,-0.125,0.125,0.125,-58.875,49.0,-22.25,1.43,-0.68,28.87
22:01:04,-0.12,-4.53,8.16,-0.1875,-0.125,-0.125,-59.5625,48.25,-24.375,1.43,-0.68,28.87
22:01:04,-0.12,-4.54,8.16,-0.0625,-0.0625,-0.125,-57.75,47.875,-23.875,1.43,-0.68,28.87
22:01:05,-0.09,-4.53,8.17,-0.0625,0.25,0.125,-57.75,47.5,-23.5,1.43,-0.68,28.87
22:01:06,-0.12,-4.54,8.17,0.0625,0.125,-0.0625,-58.0625,48.25,-23.0625,1.43,-0.68,28.87
22:01:06,-0.12,-4.54,8.13,0.0625,-0.1875,0.0625,-59.25,49.0,-23.0625,1.43,-0.68,28.87
22:01:07,-0.13,-4.54,8.15,0.0,-0.1875,0.0625,-58.5,48.25,-23.0625,1.43,-0.68,28.87
22:01:07,-0.09,-4.52,8.13,0.1875,0.3125,0.25,-58.5,50.0625,-23.875,1.43,-0.68,28.87
22:01:08,-0.16,-4.51,8.16,0.0625,-0.0625,-0.5625,-58.5,47.0625,-23.875,1.43,-0.68,28.87
22:01:09,-0.12,-4.53,8.17,-0.5,-0.4375,-0.125,-59.5625,47.5,-23.0625,1.43,-0.68,28.87
22:01:09,-0.08,-4.54,8.14,0.25,0.375,0.375,-59.25,50.75,-22.6875,1.43,-0.68,28.87
22:01:10,-0.08,-4.54,8.13,0.0625,0.125,-0.5,-58.875,50.75,-23.0625,1.43,-0.68,28.87
22:01:10,-0.15,-4.51,8.2,-0.3125,-0.25,-0.4375,-59.25,48.5625,-24.375,1.43,-0.68,28.87
22:01:11,-0.08,-4.55,8.12,0.0,-0.0625,0.3125,-58.875,48.25,-24.75,1.43,-0.68,28.87
22:01:11,-0.1,-4.5,8.16,0.125,0.0,0.0625,-59.25,47.875,-23.875,1.43,-0.68,28.87
22:01:12,-0.14,-4.52,8.15,0.125,0.0625,0.25,-58.0625,48.5625,-23.5,1.43,-0.68,28.87
22:01:13,-0.12,-4.53,8.17,-0.125,0.3125,0.0,-58.5,48.25,-23.5,1.43,-0.68,28.87
22:01:13,-0.12,-4.53,8.14,0.125,0.0,0.125,-57.0,48.5625,-24.75,1.43,-0.68,28.87
22:01:14,-0.13,-4.53,8.18,0.0,0.125,0.0,-59.1875,47.875,-22.6875,1.43,-0.68,28.87
22:01:14,-0.13,-4.52,8.18,0.0625,0.25,0.0625,-57.375,48.5625,-23.5,1.43,-0.68,28.87
22:01:15,-0.13,-4.54,8.13,0.0,0.1875,-0.125,-58.5,48.5625,-23.5,1.43,-0.68,28.87
22:01:16,-0.12,-4.53,8.16,-0.125,0.0625,-0.125,-60.25,48.25,-23.0625,1.43,-0.68,28.87
22:01:16,-0.12,-4.54,8.14,0.0,-0.1875,-0.0625,-58.5,49.375,-23.0625,1.43,-0.68,28.87
22:01:17,-0.12,-4.53,8.16,-0.0625,-0.125,0.0,-60.25,47.5,-22.6875,1.43,-0.68,28.87
22:01:17,-0.11,-4.53,8.16,0.0625,0.0625,0.1875,-57.75,49.6875,-23.5,1.43,-0.68,28.87
